Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,St. Kitts and Nevis,KNA,..,385.660928944638,675.656115827305,777.564525752389,832.555999345762,825.188536766236,740.900154814615,781.901549465721,672.587585300456,696.612699268922,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,St. Lucia,LCA,..,260.260306505093,336.149804563095,304.180949208172,299.338703653525,313.583717637664,308.821281440006,289.337159697929,297.598563137302,331.300861029166,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,St. Vincent and the Grenadines,VCT,..,73.8371510910456,173.258213653536,171.548686629751,182.665008538596,182.876219593817,187.793682699509,176.893656019465,184.399111726874,203.859901193915,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Sudan,SDN,..,65.2747699428702,172.89443997101,206.194472293091,226.624097855817,202.505749246593,137.728220914438,137.725092275799,83.0507835739962,72.4049601718473,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Suriname,SUR,..,74.7530452370043,235.222156219259,213.651080776064,191.351215982999,249.2765224433,232.657840330019,288.064422752066,231.231488480659,228.961598427446,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Sweden,SWE,..,314,775,795,799,794,822,842,818,888,922,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Switzerland,CHE,..,1043.33593311699,1596.64056788383,1671.70289215031,1708.67228346026,1745.93829113069,1783.08531820805,1887.66841386981,1887.47581634495,2003.4931395223,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Syrian Arab Republic,SYR,..,93.7682525808395,..,..,..,..,..,..,..,..,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Tajikistan,TJK,..,35,138,128,142,140,166,183,205,223,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Tanzania,TZA,..,13.6590593496562,22.3404346493469,21.0589655787301,20.3665902983774,20.7839709788828,21.636449320402,22.1387928707825,23.6483967999491,24.5104350803163,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Thailand,THA,..,77.1962143062514,71.7311917156603,70.9662959398376,69.1331509622286,77.5714407501772,70.7779504611793,61.6527188281913,81.764229999714,87.4966567892449,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Timor-Leste,TLS,..,..,16.2117178179885,16.3117816102951,16.9960493777413,17.7010206106618,20.342024858801,20.4402792786433,24.926602230862,16.0381585179431,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Togo,TGO,..,27.6522504568232,51.0987645679847,52.6627158026896,79.9111107217615,78.7408507750926,81.4736657003701,82.2079429927965,84.6748107948892,89.619367209612,..,..
